Timestamp,High,Low,Weighted Price
2013-08-23,122,118.444,119.61
2013-08-24,121.39,118.02,119.66
2013-08-25,122.99,119.14,121.7
2013-08-26,122.96996,119.91611,121.29
2013-08-27,133,120,127.86
2013-08-28,131.72442,128.02,129.71
2013-08-29,131.2,128.18,129.07
2013-08-30,142.76173,128.56,136.27
2013-08-31,148.7,135.89,143.04
2013-09-01,147.29,141,144.46
2013-09-02,148.5,142.11,145.14
2013-09-03,148.90893,142.2,145.23
2013-09-04,145.8,130.08998,137.22
2013-09-05,137.97,127.24164,131.9
2013-09-06,133.99999,121.9,127.01
2013-09-07,131.02499,121.25,126.29
2013-09-08,129.86999,124.06,125.99
2013-09-09,137.48007,124,131.8
2013-09-10,136.02,131.375,133.66
2013-09-11,145.9,127.5,137.42
2013-09-12,145.51679,137.51,140.82
2013-09-13,145.60414,137.82,142.98
2013-09-14,142,136.5,139.07
2013-09-15,141,135.04,137.55
2013-09-16,142.23,137.9,139.82
2013-09-17,141.37,138,139.44
2013-09-18,142,139.01001,140.24
2013-09-19,141.2,131.14,136.34
2013-09-20,137.28,131,134.51
2013-09-21,135.99,132,133.83
2013-09-22,135,131,132.77
2013-09-23,135,132,133.55
2013-09-24,136.59141,132.5,134.5
2013-09-25,138,134.7,136.22
2013-09-26,139,134.71,136.46
2013-09-27,142.66,134.82811,138.75
2013-09-28,143,138.02021,140.73
2013-09-29,145.81,141.36005,144.32
2013-09-30,145.81,138.12,142.14
2013-10-01,144.44,139.41,141.66
2013-10-02,141.92999,109.7,124.76
2013-10-03,132,120.1,127.35
2013-10-04,139.8,128.5,134.82
2013-10-05,138,135.3,136.48
2013-10-06,138,134.1,136.05
2013-10-07,139,135.12,137.17
2013-10-08,137.79499,135.66,136.68
2013-10-09,142.1,135.8,139.28
2013-10-10,141.69,138.51,140.59
2013-10-11,141.85,138.87001,140.63
2013-10-12,143.0571,139.4,141.63
2013-10-13,147.65,141.50021,144.86
