Timestamp,Url,Title,Article 
2014-02-25,http://www.theguardian.com/business/blog/2014/feb/25/stock-markets-highs-ftse-100-china-live,negative,neutral
2014-02-25,http://www.theguardian.com/technology/economics-blog/2014/feb/25/bitcoin-will-survive-despite-mtgox-offline,positive,neutral
2014-02-25,http://www.theguardian.com/technology/2014/feb/25/bitcoin-exchange-mtgox-offline-amid-rumours-of-theft,neutral,negative
2014-02-25,http://www.theguardian.com/media/2014/feb/25/media-briefing-tuesday-25-february,neutral,neutral
2014-02-24,http://www.theguardian.com/technology/2014/feb/24/dogecoin-burger-stand-aims-to-take-digital-currency-to-the-moon,negative,neutral
2014-02-21,http://www.theguardian.com/media/2014/feb/21/media-briefing-friday-21-february,neutral,neutral
2014-02-20,http://www.theguardian.com/technology/2014/feb/20/winklevoss-twins-facebook-launch-winkdex-bitcoin-price-tracker,positive,negative
2014-02-18,http://www.theguardian.com/commentisfree/2014/feb/18/house-of-cards-season-two-hacker-gregg-housh,negative,negative
2014-02-18,http://www.theguardian.com/advertising/digital-media-trends-power-people,neutral,positive
2014-02-18,http://www.theguardian.com/technology/2014/feb/18/doge-such-questions-very-answered,negative,neutral
2014-02-18,http://www.theguardian.com/media/2014/feb/18/media-briefing-tuesday-18-february,neutral,positive
2014-02-17,http://www.theguardian.com/politics/2014/feb/17/scottish-independence-oops-scenario,neutral,positive
2014-02-14,http://www.theguardian.com/guardian-observer-style-guide-b,negative,negative
2014-02-13,http://www.theguardian.com/sustainable-business/sustainable-finance-where-next-open-thread,neutral,neutral
2014-02-13,http://www.theguardian.com/media/2014/feb/13/media-briefing-thursday-13-february,neutral,neutral
2014-02-12,http://www.theguardian.com/technology/2014/feb/12/bitcoin-exchanges-suspend-conversions-hacker-attack,neutral,positive
2014-02-12,http://www.theguardian.com/sustainable-business/sustainable-finance-top-ten-tweeters-twitter,neutral,neutral
2014-02-11,http://www.theguardian.com/media/2014/feb/11/media-briefing-tuesday-11-february,neutral,negative
2014-02-11,http://www.theguardian.com/technology/blog/2014/feb/11/app-purchase-stats-secret,negative,neutral
2014-02-10,http://www.theguardian.com/technology/2014/feb/10/how-ransomware-turns-your-computer-bitcoin-miner-linkup,negative,neutral
2014-02-10,http://www.theguardian.com/technology/2014/feb/10/cody-wilson-3d-gun-anarchist,neutral,negative
2014-02-07,http://www.theguardian.com/media/2014/feb/07/media-briefing-friday-7-february,neutral,neutral
2014-02-06,http://www.theguardian.com/technology/2014/feb/06/apple-bans-another-bitcoin-app-from-iphones,negative,neutral
2014-02-05,http://www.theguardian.com/media-network/media-network-blog/2014/feb/05/bitcoin-currency-retail-payment,negative,positive
2014-02-05,http://www.theguardian.com/technology/2014/feb/05/silk-roads-alleged-founder-indicted,positive,neutral
2014-01-28,http://www.theguardian.com/technology/2014/jan/28/bitcoin-executive-resigns-money-laundering-silk-road-charlie-shrem,negative,neutral
2014-01-28,http://www.theguardian.com/technology/2014/jan/28/self-driving-cars-irresistible-hackers-security-executive,neutral,neutral
2014-01-27,http://www.theguardian.com/technology/2014/jan/27/bitcoin-foundation-vice-chair-arrested-money-laundering,neutral,neutral
2014-01-23,http://www.theguardian.com/technology/blog/2014/jan/23/technology-links-newsbucket,neutral,neutral
2014-01-22,http://www.theguardian.com/technology/2014/jan/22/bitcloud-hackers-bitcoin-facebook-youtube-spotify,negative,negative
2014-01-21,http://www.theguardian.com/technology/2014/jan/21/ebay-clamps-down-on-bitcoin-sales-in-the-uk,neutral,neutral
2014-01-20,http://www.theguardian.com/technology/2014/jan/20/jamaican-bobsled-team-raises-dogecoin-winter-olympics,positive,neutral
2014-01-19,http://www.theguardian.com/commentisfree/2014/jan/19/online-banking-high-street-labour-reforms,neutral,neutral
2014-01-17,http://www.theguardian.com/media/2014/jan/17/media-briefing-friday-17-january,neutral,neutral
2014-01-16,http://www.theguardian.com/technology/2014/jan/16/will-porn-com-bitcoin-app,negative,positive
2014-01-15,http://www.theguardian.com/technology/2014/jan/15/10-things-u-need-to-know-digital-payments,positive,neutral
2014-01-15,http://www.theguardian.com/media/2014/jan/15/media-briefing-wednesday-15-january,neutral,neutral
2014-01-10,http://www.theguardian.com/music/2014/jan/10/cryptocurrency-coinye-bitcoin-kanye-west-50-cent,neutral,neutral
