Timestamp,Url,Sentiment Score,Sentiment Text
2013-12-29,http://www.theguardian.com/technology/2013/dec/29/google-robotics-us-military-boston-dynamics,0.0194572,positive
2013-12-25,http://www.theguardian.com/technology/blog/2013/dec/25/merry-christmas-everyone,-0.0180152,negative
2013-12-24,http://www.theguardian.com/technology/2013/dec/24/tech-128-2013-was-the-year-of-the-dark-web-elon-musk-and-h-from-steps,-0.0229504,negative
2013-12-23,http://www.theguardian.com/media/2013/dec/23/media-briefing-monday-23-december,-0.153383,negative
2013-12-23,http://www.theguardian.com/technology/2013/dec/23/tech-128-from-airbnb-to-crowdfunding-the-year-in-review,-0.00166524,negative
2013-12-22,http://www.theguardian.com/business/2013/dec/22/ten-things-i-hated-about-business-in-2013,-0.0092498,negative
2013-12-21,http://www.theguardian.com/lifeandstyle/2013/dec/21/lucy-mangan-great-year,0.0801065,positive
2013-12-20,http://www.theguardian.com/sustainable-business/business-model-innovation-e-choupal-onemorepallet-sirum-alternative-marketplaces,0.0481256,positive
2013-12-20,http://www.theguardian.com/advertising/digital-media-trends-2014-trends,0.0445262,positive
2013-12-20,http://www.theguardian.com/culture/picture/2013/dec/20/2013-infomania,,
2013-12-19,http://www.theguardian.com/technology/blog/2013/dec/19/mobile-internet-scale,0.0047864,positive
2013-12-18,http://www.theguardian.com/business/2013/dec/18/uk-unemployment-bank-minutes-federal-reserve-business-live,0.0052299,positive
2013-12-18,http://www.theguardian.com/technology/2013/dec/18/bitcoin-plummets-china-payment-processors-digital-cryptocurrency,-0.061443,negative
2013-12-17,http://www.theguardian.com/media/2013/dec/17/media-briefing-tuesday-17-december,-0.051348,negative
2013-12-17,http://www.theguardian.com/media-network/media-network-blog/2013/dec/17/internet-fragmentation-eugene-kaspersky,-0.0157112,negative
2013-12-16,http://www.theguardian.com/technology/blog/2013/dec/16/web-traffic-big-thing,-0.00812135,negative
2013-12-16,http://www.theguardian.com/science/2013/dec/16/geek-word-year-collins-dictionary-definition,0.0158782,positive
2013-12-15,http://www.theguardian.com/commentisfree/2013/dec/15/sorry-stop-apologising-ian-martin,-0.10609,negative
2013-12-13,http://www.theguardian.com/technology/blog/2013/dec/13/bitcoin-google-mooc,-0.0600975,negative
2013-12-12,http://www.theguardian.com/politics/2013/dec/12/george-osborne-andrew-tyrie-sketch,-0.0144896,negative
2013-12-12,http://www.theguardian.com/technology/gallery/2013/dec/12/christmas-gadget-gift-guide-for-the-bitcoin-millionaire-in-pictures,0.0431876,positive
2013-12-11,http://www.theguardian.com/technology/2013/dec/11/ernst-young-warn-bitcoin-payment-problems,-0.00369671,negative
2013-12-11,http://www.theguardian.com/business/gallery/2013/dec/11/kipper-williams-guardian-cartoonist-christmas-cards-2013,,
2013-12-10,http://www.theguardian.com/technology/2013/dec/10/apple-blocks-bitcoin-payments-on-secure-messaging-app-gliph,-0.0022804,negative
2013-12-09,http://www.theguardian.com/technology/2013/dec/09/recovering-stolen-bitcoin-sheep-marketplace-trading-digital-currency-money,-0.0063836,negative
2013-12-09,http://www.theguardian.com/world/2013/dec/09/internet-companies-demand-spying-overhaul-after-nsa-revelations-live-reaction,-0.00065355,negative
2013-12-09,http://www.theguardian.com/technology/blog/2013/dec/09/ios7-interface-marissa-mayer,0.000234355,positive
2013-12-08,http://www.theguardian.com/commentisfree/2013/dec/08/peer-pressure-using-proper-names,-0.00094086,negative
2013-12-08,http://www.theguardian.com/business/2013/dec/08/china-cameron-export-drive-desperate,-0.0226697,negative
2013-12-06,http://www.theguardian.com/media/2013/dec/06/media-briefing-friday-6-december,0.067162,positive
2013-12-05,http://www.theguardian.com/technology/2013/dec/05/bitcoin-digital-currency-wall-street-strategist,0.0094789,positive
2013-12-05,http://www.theguardian.com/technology/2013/dec/05/bitcoin-price-tumbles-chinese-central-bank-warning,-0.0655635,negative
2013-12-04,http://www.theguardian.com/technology/2013/dec/04/bitcoin-bubble-tulip-dutch-banker,-0.133156,negative
2013-12-04,http://www.theguardian.com/technology/2013/dec/04/valve-joins-linux-steam-machine-gaming,0.06169,positive
2013-12-04,http://www.theguardian.com/tv-and-radio/tvandradioblog/2013/dec/04/good-wife-cbs-best-drama-tv,0.0267326,positive
2013-12-04,http://www.theguardian.com/technology/blog/2013/dec/04/bitcoin-nexus-spreadsheet,0.00793315,positive
2013-12-03,http://www.theguardian.com/world/2013/dec/03/person-of-year-2013-who-gets-your-vote,-0.0307467,negative
2013-12-03,http://www.theguardian.com/technology/2013/dec/03/online-drugs-marketplace-shut-down-bitcoin-hack-sheep,-0.069974,negative
2013-12-03,http://www.theguardian.com/technology/blog/2013/dec/03/self-driving-cars-sweden-z30,0.0127226,positive
