Timestamp,Url,Title,Article ,High,Low,Weighted Price
2014-01-05,http://www.theguardian.com/technology/2014/jan/05/lost-year-new-technology-2013-gadgets,neutral,neutral,1029.98765,911.58,973
2014-01-03,http://www.theguardian.com/music/2014/jan/03/kanye-coinye-west-bitcoin-coinye-cryptocurrency,neutral,positive,888.8,840,867.42
2014-01-02,http://www.theguardian.com/technology/2014/jan/02/technology-predictions-2014-smarter-cities-bigger-games-drones-tablets,negative,neutral,886.31309,810.5601,846.22
2014-01-01,http://www.theguardian.com/money/2014/jan/01/money-corrupted-us-understand-worth,negative,positive,830,771,805.33
2014-01-01,http://www.theguardian.com/technology/2014/jan/01/tech-128-tor-vine-and-4g,neutral,neutral,830,771,805.33
2013-12-31,http://www.theguardian.com/technology/2013/dec/31/tech-128-silk-road-spotify-tinder,neutral,negative,813.99999,777,796.36
2013-12-30,http://www.theguardian.com/technology/2013/dec/30/tech-128-pewdiepie-ps4-self-driving-cars-raspberry-pi,neutral,positive,818.888,781,803.25
2013-12-29,http://www.theguardian.com/lifeandstyle/2013/dec/29/selfies-twerking-words-really-mattered-2013,positive,neutral,804,735,773.81
2013-12-29,http://www.theguardian.com/technology/2013/dec/29/google-robotics-us-military-boston-dynamics,negative,negative,804,735,773.81
2013-12-25,http://www.theguardian.com/technology/blog/2013/dec/25/merry-christmas-everyone,negative,negative,710,674,696.19
2013-12-24,http://www.theguardian.com/technology/2013/dec/24/tech-128-2013-was-the-year-of-the-dark-web-elon-musk-and-h-from-steps,neutral,negative,729.99174,666.01,698.73
2013-12-23,http://www.theguardian.com/media/2013/dec/23/media-briefing-monday-23-december,neutral,neutral,725,631.00001,677.31
2013-12-23,http://www.theguardian.com/technology/2013/dec/23/tech-128-from-airbnb-to-crowdfunding-the-year-in-review,neutral,negative,725,631.00001,677.31
2013-12-22,http://www.theguardian.com/business/2013/dec/22/ten-things-i-hated-about-business-in-2013,negative,positive,700,615,661.14
2013-12-21,http://www.theguardian.com/lifeandstyle/2013/dec/21/lucy-mangan-great-year,positive,neutral,689.99,610,647.89
2013-12-20,http://www.theguardian.com/sustainable-business/business-model-innovation-e-choupal-onemorepallet-sirum-alternative-marketplaces,neutral,neutral,774.47,621.25001,698.39
2013-12-20,http://www.theguardian.com/advertising/digital-media-trends-2014-trends,neutral,negative,774.47,621.25001,698.39
2013-12-20,http://www.theguardian.com/culture/picture/2013/dec/20/2013-infomania,positive,positive,774.47,621.25001,698.39
2013-12-19,http://www.theguardian.com/technology/blog/2013/dec/19/mobile-internet-scale,positive,negative,746,522.44,654.75
2013-12-18,http://www.theguardian.com/business/2013/dec/18/uk-unemployment-bank-minutes-federal-reserve-business-live,neutral,negative,717.015,455,565.51
2013-12-18,http://www.theguardian.com/technology/2013/dec/18/bitcoin-plummets-china-payment-processors-digital-cryptocurrency,neutral,neutral,717.015,455,565.51
2013-12-17,http://www.theguardian.com/media/2013/dec/17/media-briefing-tuesday-17-december,neutral,negative,780,678.8904,722.7
2013-12-17,http://www.theguardian.com/media-network/media-network-blog/2013/dec/17/internet-fragmentation-eugene-kaspersky,neutral,negative,780,678.8904,722.7
2013-12-16,http://www.theguardian.com/technology/blog/2013/dec/16/web-traffic-big-thing,negative,neutral,925,714.11,796.07
2013-12-16,http://www.theguardian.com/science/2013/dec/16/geek-word-year-collins-dictionary-definition,neutral,positive,925,714.11,796.07
2013-12-15,http://www.theguardian.com/commentisfree/2013/dec/15/sorry-stop-apologising-ian-martin,negative,positive,928,838.0201,876.87
2013-12-13,http://www.theguardian.com/technology/blog/2013/dec/13/bitcoin-google-mooc,negative,neutral,990,882.15864,931.06
2013-12-12,http://www.theguardian.com/politics/2013/dec/12/george-osborne-andrew-tyrie-sketch,neutral,negative,941,839.5,886.34
2013-12-12,http://www.theguardian.com/technology/gallery/2013/dec/12/christmas-gadget-gift-guide-for-the-bitcoin-millionaire-in-pictures,positive,neutral,941,839.5,886.34
2013-12-11,http://www.theguardian.com/technology/2013/dec/11/ernst-young-warn-bitcoin-payment-problems,positive,neutral,1056.9,856.123,946.2
2013-12-11,http://www.theguardian.com/business/gallery/2013/dec/11/kipper-williams-guardian-cartoonist-christmas-cards-2013,positive,positive,1056.9,856.123,946.2
