Timestamp,Open,High,Low,Close,Volume (BTC),Volume (Currency),Weighted Price
2013-08-08,105.98992,106.65,100.95969,103.05,23221.29,2397802.03,103.26
2013-08-09,103.07,105.78999,101.935,102.8,10979.39,1133150.53,103.21
2013-08-10,102.38002,103.89999,102.38001,102.99999,3411.33,351636.37,103.08
2013-08-11,102.99999,105.19,102.7,105,7870.9,820721.72,104.27
2013-08-12,105,108.121,103.5,106.81349,19141.6,2030771.27,106.09
2013-08-13,106.98999,109.64,104.5,109.6,17808.47,1912320.25,107.38
2013-08-14,109.42519,115,108,112.56205,49406.68,5567652.07,112.69
2013-08-15,112.56206,113.321,108.78,109.99497,14794.82,1643457.67,111.08
2013-08-16,109.10523,112.3,108.21,108.99438,12567.48,1378751.98,109.71
2013-08-17,108.99499,114,108.225,112.75,12258.66,1373044.65,112.01
2013-08-18,112.76,114.69,112,113.38,9324.88,1059845.23,113.66
2013-08-19,113.395,123.74518,111.771,118.50203,51420.13,6088398.47,118.4
2013-08-20,119,123.01111,116.817,121.20001,23213.86,2803868.53,120.78
2013-08-21,121.20003,125,119.68162,123.30002,29616.91,3637947.82,122.83
2013-08-22,123.13496,124.49,120.54,121.99994,12815.39,1563933.74,122.04
2013-08-23,121.99993,122,118.444,118.51002,18231.25,2180668.6,119.61
2013-08-24,118.51003,121.39,118.02,119.60255,8370.82,1001638.16,119.66
2013-08-25,119.60255,122.99,119.14,122.11102,7101.52,864221.29,121.7
2013-08-26,122.111,122.96996,119.91611,120.07,10115.28,1226894.28,121.29
2013-08-27,120.1,133,120,131.295,52815.73,6753064.35,127.86
2013-08-28,130.20501,131.72442,128.02,128.76,11556.09,1498911.33,129.71
2013-08-29,128.57206,131.2,128.18,129.30034,7362.92,950327.42,129.07
2013-08-30,129.30033,142.76173,128.56,138.03002,44989.75,6130666.31,136.27
2013-08-31,138.03002,148.7,135.89,141,30617.8,4379539.86,143.04
2013-09-01,141,147.29,141,146.01003,13933.38,2012831.97,144.46
2013-09-02,146.01005,148.5,142.11,144,10444.51,1515953.55,145.14
2013-09-03,144,148.90893,142.2,144,15761.47,2289067.06,145.23
2013-09-04,144,145.8,130.08998,132.51,27617.96,3789771.82,137.22
2013-09-05,132.51,137.97,127.24164,130.20002,25687.39,3388171.05,131.9
2013-09-06,131.65,133.99999,121.9,121.9,18159.82,2306510.21,127.01
2013-09-07,122.41,131.02499,121.25,128.99496,13551.3,1711444.13,126.29
2013-09-08,128.5,129.86999,124.06,126.31501,7127.43,898013.73,125.99
2013-09-09,126.31502,137.48007,124,133.1,28172.62,3713063.37,131.8
2013-09-10,133.1,136.02,131.375,132.61636,7833.1,1046934.17,133.66
2013-09-11,132.61636,145.9,127.5,142.1,40468.78,5561047.26,137.42
2013-09-12,142.1,145.51679,137.51,139.35499,19360.48,2726354.36,140.82
2013-09-13,138.37013,145.60414,137.82,140.66,18892.27,2701141.02,142.98
2013-09-14,140.66,142,136.5,136.7149,8361.6,1162873.31,139.07
2013-09-15,136.71627,141,135.04,138.3002,6197.92,852533.92,137.55
2013-09-16,138.4,142.23,137.9,139.41938,9267.74,1295814.54,139.82
2013-09-17,139.01,141.37,138,139.15001,8242.27,1149306.12,139.44
2013-09-18,139.15002,142,139.01001,140.41238,8189.61,1148501.39,140.24
2013-09-19,140.41234,141.2,131.14,135.05037,19769.45,2695293.89,136.34
2013-09-20,135.89477,137.28,131,133.80726,9923.67,1334825.55,134.51
2013-09-21,133.80726,135.99,132,134.38,4441.25,594385.99,133.83
2013-09-22,134.33795,135,131,134.00001,5570.74,739648.9,132.77
2013-09-23,134.9,135,132,133.4,4464.49,596235.7,133.55
2013-09-24,133.4,136.59141,132.5,134.7788,6929.87,932097.52,134.5
2013-09-25,134.77898,138,134.7,135,8243.79,1122963.75,136.22
2013-09-26,135.00135,139,134.71,137.10002,5222.84,712709.65,136.46
2013-09-27,135.85005,142.66,134.82811,138.93,25900.19,3593626.81,138.75
2013-09-28,138.93,143,138.02021,142.5,12989.28,1827958.48,140.73
2013-09-29,142.49,145.81,141.36005,143.88402,17790.6,2567567.39,144.32
2013-09-30,143.89402,145.81,138.12,141.8965,12845.12,1825855.17,142.14
2013-10-01,143.28122,144.44,139.41,140.3,7709.57,1092164.83,141.66
2013-10-02,140.30001,141.92999,109.7,123,110147.64,13742025.51,124.76
2013-10-03,123,132,120.1,130.98925,34445.57,4386579.6,127.35
2013-10-04,130.97902,139.8,128.5,136.82222,17710.25,2387682.76,134.82
2013-10-05,136.82222,138,135.3,136.69511,4479.67,611381.98,136.48
2013-10-06,136.73026,138,134.1,137.8,4660.13,634031,136.05
2013-10-07,137.01002,139,135.12,135.80001,6405.78,878670.99,137.17
2013-10-08,136.82274,137.79499,135.66,136.50002,4157.41,568230.67,136.68
2013-10-09,136.50998,142.1,135.8,139.5,16615.18,2314148.32,139.28
2013-10-10,139.42001,141.69,138.51,140.41013,10157.64,1428027.92,140.59
2013-10-11,141.41,141.85,138.87001,140.1,6280.51,883230.52,140.63
2013-10-12,141.7929,143.0571,139.4,142.89995,10622.03,1504393.7,141.63
2013-10-13,142.61096,147.65,141.50021,147.53,15998.51,2317585.06,144.86
2013-10-14,147.53,153.69902,146.03267,151.38003,29438.93,4432598.32,150.57
2013-10-15,150.6295,158.1,150.628,158.1,14282.45,2204254.58,154.33
2013-10-16,158.1,163,144.20004,152.83,41433.58,6434985.71,155.31
2013-10-17,151.645,159.95,150.75471,157.60001,15093.85,2350949.12,155.76
2013-10-18,158.25323,168.3,156.5,168.3,24861.11,4061489.24,163.37
2013-10-19,168.2,195.83267,167.1,183.17999,54485.2,9865972.88,181.08
2013-10-20,180.80004,186.12,177.25,186.12,11174.87,2043935.17,182.9
2013-10-21,186.12,197.39005,183.2,192.795,22991.33,4406343.31,191.65
2013-10-22,192.795,205.5,192.795,203,32953.99,6582493.65,199.75
2013-10-23,203.99829,228,200.75,228,38958.66,8332514.78,213.88
2013-10-24,227.99997,233.4,175.30001,206.995,95972.97,19489369.74,203.07
2013-10-25,206.985,209,176.60399,197.90999,35744.04,6740413.02,188.57
2013-10-26,197.19879,198.42679,187,188.56002,11593.23,2227101.45,192.1
2013-10-27,189.92363,207.9,189,207.0001,12904.93,2578681.55,199.82
2013-10-28,207.5,209.79,200.42,206.9,10041.16,2072651.32,206.42
2013-10-29,207.5,216.5,204.20001,216,8958.39,1892602.51,211.27
2013-10-30,215.502,216.5,204,208,12582.47,2654807.1,210.99
2013-10-31,206,215,205.43565,211.1714,4608.29,976625.58,211.93
2013-11-01,211.20177,215,209.76,213.5,4884.45,1039764.67,212.87
2013-11-02,213.50003,214.87996,211.02,211.70001,4375.23,932092.25,213.04
2013-11-03,212.2,226.959,212.105,224.01001,12032.84,2641482.54,219.52
2013-11-04,224.7,239.02,222,238.19039,16899.84,3895904.69,230.53
2013-11-05,238.19039,258.87626,229,251.3,44067.26,10833235.33,245.83
2013-11-06,251.4134,272.52,251.4134,264.1,37807.24,9944331.96,263.03
2013-11-07,264.11,324.198,263.60001,309.659,85178.59,25293726.93,296.95
2013-11-08,309.99999,358,308.01001,355,43831.61,14805767.39,337.79
2013-11-09,355.06361,395,340,367.8,49272.46,18199556.28,369.37
2013-11-10,365.12,372.5,290,336.33101,74095.68,24174067.08,326.25
2013-11-11,341.0302,376,321.41,363,17785.25,6255033.51,351.7
2013-11-12,362.99999,391.52574,359.02,380.1,21029.65,7937468.75,377.44
2013-11-13,380.25003,445,372.183,434.87999,35274.27,14480339.54,410.51
2013-11-14,434.87499,447.49999,402.54,433.4,30773.28,13184591.73,428.44
2013-11-15,433.4,458,413.05,434,27269.09,11898612.6,436.34
2013-11-16,434,477,428.01172,461.9999,18664.14,8527635.05,456.9
2013-11-17,458.95149,536.777,457,528.31991,26509.66,13242526.69,499.54
2013-11-18,528,788,522,785.50007,71436.42,45079283.98,631.04
2013-11-19,785.50007,900.97998,502.6212,645.71675,98637.13,68768815.23,697.19
2013-11-20,643.00001,650,453.29,638,91019.97,50391282.67,553.63
2013-11-21,630.12001,784.4444,595.21,765.10001,38191.57,26748978.88,700.39
2013-11-22,768.99999,821.999,682.3,802,29655.73,22307022.39,752.2
2013-11-23,802,889.99999,799.60484,832.524,20952.76,17609317.85,840.43
2013-11-24,839.99,855,745.2,795,25843.73,20686216.59,800.43
2013-11-25,795.00166,850,758.95852,830,25978.29,21099945.05,812.21
2013-11-26,829.995,975,825.1,970,31183.08,27905311.15,894.89
2013-11-27,970,1094.794,914.31556,1080,37306.24,37321053.75,1000.4
2013-11-28,1087.94315,1224.59998,1032.15,1101.47497,37215.12,42727152.2,1148.11
2013-11-29,1101.42,1242,1050,1206.97761,38295.2,44555938.94,1163.49
2013-11-30,1205,1233,1150.25,1205.8,14782.96,17886454.2,1209.94
2013-12-01,1206.00001,1216.9,840.32,1004.42392,79772.7,83086786.68,1041.54
2013-12-02,1005,1117.79999,975,1096.63251,36675.47,38845192.51,1059.16
2013-12-03,1099.9,1185.77338,1065,1155,18945.16,21435545.47,1131.45
2013-12-04,1155,1240,1131.72718,1237.955,15885.31,18947255.39,1192.75
2013-12-05,1230.005,1240,870.001,1106.4345,57982.86,61804648.25,1065.91
2013-12-06,1106.899,1118.989,800,845,53161.11,50399613.13,948.05
2013-12-07,846,895.89,576,696.99999,97325.91,70458455.47,723.94
2013-12-08,693.25256,829,653.0001,804.00001,31105.78,22961371.65,738.17
2013-12-09,810.98,980.17661,787.75,918.99,27227,24179362.99,888.07
2013-12-10,915.935,1067.99999,912,1033.975,21706.67,21340424.33,983.13
2013-12-11,1026.00001,1056.9,856.123,920,23949.51,22661100.57,946.2
2013-12-12,908.00003,941,839.5,899.9999,9649.93,8553071.81,886.34
2013-12-13,899.9999,990,882.15864,936.87547,17088.92,15910804.5,931.06
2013-12-14,943.39623,948,875.13535,908.98998,11406.79,10359533.49,908.19
2013-12-15,900.005,928,838.0201,920,15038.57,13186844.81,876.87
2013-12-16,916,925,714.11,760,40795.65,32476301.78,796.07
2013-12-17,760,780,678.8904,715,31284.06,22608843.58,722.7
2013-12-18,715,717.015,455,541.00001,109722.89,62048984.58,565.51
2013-12-19,541.21,746,522.44,731.98999,45305.81,29663995.69,654.75
2013-12-20,730,774.47,621.25001,650,34364.27,23999605.66,698.39
2013-12-21,649.393,689.99,610,640.5,14441.48,9356525.82,647.89
2013-12-22,636.09001,700,615,639.48,11501.33,7603966.93,661.14
2013-12-23,639.47998,725,631.00001,713.34506,14666.9,9934026.93,677.31
2013-12-24,716.99999,729.99174,666.01,702.8,10677.15,7460474.08,698.73
2013-12-25,696.86,710,674,707.3,5270.7,3669393.68,696.19
2013-12-26,707.3,829.8,707.3,802.11,23193.34,17954026.6,774.1
2013-12-27,807,837,768,803.23,13466.88,10752491.64,798.44
2013-12-28,803.23,806,715.6,762.005,13149.18,9976713.28,758.73
2013-12-29,767,804,735,785.00501,6940.14,5370367.6,773.81
2013-12-30,789.995,818.888,781,804.87996,10027.39,8054469.04,803.25
2013-12-31,804.87492,813.99999,777,806.00503,8836.73,7037218.27,796.36
2014-01-01,806.01002,830,771,815.995,10688.03,8607372.98,805.33
2014-01-02,812.58795,886.31309,810.5601,857,12414.27,10505152.34,846.22
2014-01-03,859,888.8,840,884.888,9294.23,8061999,867.42
2014-01-04,884.88299,932.37989,848.47873,924.92499,13956.51,12544052.76,898.8
2014-01-05,929.89997,1029.98765,911.58,1015,21223.75,20650812.94,973
2014-01-06,1015,1093.68199,965,1012.89899,22630.17,23190399.38,1024.76
2014-01-07,1012.88,1044.2,880,880,22263.98,21388990.09,960.7
2014-01-08,884,966.9963,859,939,13749.64,12643822.27,919.57
2014-01-09,933.015,964.69663,866.58247,937,14051.54,12889230.7,917.28
2014-01-10,935,964.99,906,957.89998,6000.45,5605099.47,934.11
2014-01-11,957.573,1011,935.13,1005.5,10919.53,10706210.18,980.46
2014-01-12,1005.50001,1022.99,922.3,940,9818.82,9515044.43,969.06
2014-01-13,940,949.47573,880.11,923.1001,9667.14,8815713.47,911.93
2014-01-14,925.9,943,905,920,3891.44,3591968.04,923.04
2014-01-15,920,973.2,915.15,941.31001,6443.14,6109243.93,948.18
2014-01-16,948.995,956.06,911.01001,914,4702.8,4367877.78,928.78
2014-01-17,914,930,867.43,894.4,9858.98,8822154.68,894.83
2014-01-18,894.9191,925,885,906.005,5755.52,5247377.79,911.71
2014-01-19,906,958.24,902.01,954.995,7460.05,6969555.38,934.25
2014-01-20,954.99999,980.59324,926,956.00002,10274.06,9858099.85,959.51
2014-01-21,959.49999,974.4,943.32,962.36655,5988.52,5766197.52,962.88
2014-01-22,970.57947,974,935,951,4322.79,4103109.17,949.18
2014-01-23,951.00001,958.99999,937.12135,945,1562.13,1481268.01,948.23
2014-01-24,943.50294,950,903.4,917.05879,5810.19,5354994.03,921.66
2014-01-25,924.97987,978.6,916.01,961.23871,7830.78,7495981.7,957.25
2014-01-26,963.93,1038.15894,950.73,1007.09456,12962.01,12955209.15,999.48
2014-01-27,1007.09456,1022,937.67,944,7932.2,7715077.06,972.63
2014-01-28,944,973,912.02001,933.00003,10017.57,9431740.02,941.52
2014-01-29,933.5,950.99999,919.3,926.13124,5339.1,4967492.73,930.4
2014-01-30,931.99954,953.97898,910.11,942.10001,5072.14,4727314.3,932.02
2014-01-31,942.10001,955.183,925,939.27508,3852.39,3633672.17,943.23
2014-02-01,949.98,969.3999,928,940.6,4055.92,3850636.1,949.39
2014-02-02,949.46534,960,935.0001,954,1458.55,1379138.93,945.56
2014-02-03,954,960,940.01,940.01001,931.44,883923.37,948.99
