Timestamp,Timestamp,Url,Sentiment Score,Sentiment Text,Title,Article ,High,Low,Weighted Price
2013-12-13,1,1,1,1,1,1,1,1,1
2013-12-15,1,1,1,1,1,1,1,1,1
2013-12-19,1,1,1,1,1,1,1,1,1
2013-12-21,1,1,1,1,1,1,1,1,1
2013-12-22,1,1,1,1,1,1,1,1,1
2013-12-24,1,1,1,1,1,1,1,1,1
2013-12-25,1,1,1,1,1,1,1,1,1
2013-12-30,1,1,1,1,1,1,1,1,1
2013-12-31,1,1,1,1,1,1,1,1,1
2014-01-02,1,1,1,1,1,1,1,1,1
2014-01-03,1,1,1,1,1,1,1,1,1
2014-01-05,1,1,1,1,1,1,1,1,1
2014-01-16,1,1,1,1,1,1,1,1,1
2014-01-17,1,1,1,1,1,1,1,1,1
2014-01-19,1,1,1,1,1,1,1,1,1
2014-01-20,1,1,1,1,1,1,1,1,1
2014-01-21,1,1,1,1,1,1,1,1,1
2014-01-22,1,1,1,1,1,1,1,1,1
2014-01-23,1,1,1,1,1,1,1,1,1
2014-01-27,1,1,1,1,1,1,1,1,1
2014-02-06,1,1,1,1,1,1,1,1,1
2014-02-07,1,1,1,1,1,1,1,1,1
2014-02-14,1,1,1,1,1,1,1,1,1
2014-02-17,1,1,1,1,1,1,1,1,1
2014-02-20,1,1,1,1,1,1,1,1,1
2014-02-21,1,1,1,1,1,1,1,1,1
2014-02-24,1,1,1,1,1,1,1,1,1
