Timestamp,Open,High,Low,Close,Volume (BTC),Volume (Currency),Weighted Price
8/8/13 0:00,105.98992,106.65,100.95969,103.05,23221.29,2397802.03,103.26
8/9/13 0:00,103.07,105.78999,101.935,102.8,10979.39,1133150.53,103.21
8/10/13 0:00,102.38002,103.89999,102.38001,102.99999,3411.33,351636.37,103.08
8/11/13 0:00,102.99999,105.19,102.7,105,7870.9,820721.72,104.27
8/12/13 0:00,105,108.121,103.5,106.81349,19141.6,2030771.27,106.09
8/13/13 0:00,106.98999,109.64,104.5,109.6,17808.47,1912320.25,107.38
8/14/13 0:00,109.42519,115,108,112.56205,49406.68,5567652.07,112.69
8/15/13 0:00,112.56206,113.321,108.78,109.99497,14794.82,1643457.67,111.08
8/16/13 0:00,109.10523,112.3,108.21,108.99438,12567.48,1378751.98,109.71
8/17/13 0:00,108.99499,114,108.225,112.75,12258.66,1373044.65,112.01
8/18/13 0:00,112.76,114.69,112,113.38,9324.88,1059845.23,113.66
8/19/13 0:00,113.395,123.74518,111.771,118.50203,51420.13,6088398.47,118.4
8/20/13 0:00,119,123.01111,116.817,121.20001,23213.86,2803868.53,120.78
8/21/13 0:00,121.20003,125,119.68162,123.30002,29616.91,3637947.82,122.83
8/22/13 0:00,123.13496,124.49,120.54,121.99994,12815.39,1563933.74,122.04
8/23/13 0:00,121.99993,122,118.444,118.51002,18231.25,2180668.6,119.61
8/24/13 0:00,118.51003,121.39,118.02,119.60255,8370.82,1001638.16,119.66
8/25/13 0:00,119.60255,122.99,119.14,122.11102,7101.52,864221.29,121.7
8/26/13 0:00,122.111,122.96996,119.91611,120.07,10115.28,1226894.28,121.29
8/27/13 0:00,120.1,133,120,131.295,52815.73,6753064.35,127.86
8/28/13 0:00,130.20501,131.72442,128.02,128.76,11556.09,1498911.33,129.71
8/29/13 0:00,128.57206,131.2,128.18,129.30034,7362.92,950327.42,129.07
8/30/13 0:00,129.30033,142.76173,128.56,138.03002,44989.75,6130666.31,136.27
8/31/13 0:00,138.03002,148.7,135.89,141,30617.8,4379539.86,143.04
9/1/13 0:00,141,147.29,141,146.01003,13933.38,2012831.97,144.46
9/2/13 0:00,146.01005,148.5,142.11,144,10444.51,1515953.55,145.14
9/3/13 0:00,144,148.90893,142.2,144,15761.47,2289067.06,145.23
9/4/13 0:00,144,145.8,130.08998,132.51,27617.96,3789771.82,137.22
9/5/13 0:00,132.51,137.97,127.24164,130.20002,25687.39,3388171.05,131.9
9/6/13 0:00,131.65,133.99999,121.9,121.9,18159.82,2306510.21,127.01
9/7/13 0:00,122.41,131.02499,121.25,128.99496,13551.3,1711444.13,126.29
9/8/13 0:00,128.5,129.86999,124.06,126.31501,7127.43,898013.73,125.99
9/9/13 0:00,126.31502,137.48007,124,133.1,28172.62,3713063.37,131.8
9/10/13 0:00,133.1,136.02,131.375,132.61636,7833.1,1046934.17,133.66
9/11/13 0:00,132.61636,145.9,127.5,142.1,40468.78,5561047.26,137.42
9/12/13 0:00,142.1,145.51679,137.51,139.35499,19360.48,2726354.36,140.82
9/13/13 0:00,138.37013,145.60414,137.82,140.66,18892.27,2701141.02,142.98
9/14/13 0:00,140.66,142,136.5,136.7149,8361.6,1162873.31,139.07
9/15/13 0:00,136.71627,141,135.04,138.3002,6197.92,852533.92,137.55
9/16/13 0:00,138.4,142.23,137.9,139.41938,9267.74,1295814.54,139.82
9/17/13 0:00,139.01,141.37,138,139.15001,8242.27,1149306.12,139.44
